image_name,cv_width,cv_height,cv_mean_L,cv_mean_a,cv_mean_b,cv_var_L,cv_var_a,cv_var_b
IMG_1424.jp2,3.5256,5.9486,84.7446,115.8058,157.6784,160.2594,5.1155,25.0021
IMG_1425.jp2,3.6955,5.9591,103.4914,118.2653,160.5998,197.0612,4.1303,41.0694
IMG_1426.jp2,3.6165,5.7045,88.819,113.0475,153.8868,116.7453,3.5831,20.2265
IMG_1429.jp2,3.6119,5.888,91.0468,117.5248,157.9715,194.813,7.7462,27.6453
IMG_1430.jp2,3.5736,5.8564,97.3285,118.7335,161.0235,119.5665,15.8484,25.2358
IMG_1431.jp2,3.7937,6.332,97.9159,114.7911,158.9422,88.875,2.9428,21.5452
IMG_1432.jp2,4.0101,6.0561,93.1227,118.0247,159.3929,199.6558,1.7953,24.9769
IMG_1433.jp2,3.7613,6.2191,90.6496,117.7881,159.7376,159.3577,5.1737,25.868
IMG_1434.jp2,3.7867,6.2931,106.5389,121.3284,163.5009,230.6577,4.0103,28.2117
IMG_1435.jp2,3.8261,6.1544,87.0088,114.3359,155.6656,206.5118,4.0402,27.2338
IMG_1436.jp2,3.6697,6.3337,92.7072,114.7496,157.3464,130.8677,7.0963,20.6986
IMG_1437.jp2,3.7441,6.436,90.9398,118.5381,160.6033,368.4652,3.9488,33.939
IMG_1438.jp2,3.4406,5.8476,100.303,119.4476,163.2971,230.9103,3.1128,34.0058
IMG_1439.jp2,3.7784,6.2338,94.8004,116.828,158.4534,194.3851,4.2758,23.9176
IMG_1440.jp2,3.761,6.5953,93.5618,117.7366,158.9429,212.4229,6.5945,33.0231
IMG_1441.jp2,3.8031,5.8751,95.0692,118.5053,161.1197,251.0857,2.8181,33.8011
IMG_1442.jp2,3.6336,5.6614,91.6243,116.9306,159.6281,183.1394,8.7769,22.6407
IMG_1443.jp2,3.7707,5.6561,101.8112,118.4339,162.6622,247.0105,4.1081,34.8272
IMG_1444.jp2,3.9751,6.1061,103.6325,122.4581,165.6188,123.099,7.515,28.1314
IMG_1445.jp2,3.759,5.5023,98.0384,118.0804,161.9892,299.1869,6.193,40.4505
IMG_1446.jp2,3.6638,5.448,101.9814,120.5031,163.5963,183.2206,12.7656,29.8392
IMG_1447.jp2,3.646,5.6322,95.3477,117.9003,161.5335,91.0634,14.3662,26.1028
IMG_1448.jp2,3.8029,5.5749,91.0566,115.4291,159.5971,93.9742,3.2065,19.8152
IMG_1449.jp2,3.8669,6.4722,86.2458,113.7896,156.6638,166.2709,3.0845,28.2171
IMG_1450.jp2,3.8752,6.0447,94.702,115.8411,159.2115,217.0821,7.2701,30.0714
IMG_1451.jp2,3.9899,6.709,102.3343,117.9128,160.7245,178.4733,14.5966,32.5854
IMG_1452.jp2,3.7247,6.0988,94.221,114.7822,158.0331,199.8613,5.1631,34.333
IMG_1453.jp2,3.6924,6.1266,98.9833,116.3298,159.6348,165.8944,8.1636,28.0434
IMG_1454.jp2,3.7035,5.9637,91.4836,115.4276,157.7787,169.4326,14.8243,23.5908
IMG_1455.jp2,3.422,6.1897,106.5491,115.0622,160.5007,148.7981,6.4102,39.615
IMG_1456.jp2,3.6284,5.7755,108.5846,120.5941,162.0697,140.0589,7.285,28.435
IMG_1457.jp2,3.7654,6.2347,100.0787,119.9618,162.1694,189.5147,7.0759,28.5197
IMG_1458.jp2,3.8077,6.3188,95.6986,116.7748,158.7211,192.8376,3.1536,30.1265
IMG_1459.jp2,3.7248,5.8047,99.3409,118.5411,161.4792,162.9486,7.6818,28.977
IMG_1460.jp2,3.5081,5.9514,97.1071,115.5651,159.4243,197.0234,2.135,39.7376
IMG_1461.jp2,3.8057,5.8116,98.2354,122.2829,161.9325,278.8331,2.2406,32.6423
IMG_1462.jp2,3.9753,6.011,109.7451,127.7806,165.9068,251.5529,3.8161,34.1711
IMG_1463.jp2,3.8757,5.9584,111.1398,124.461,164.5226,220.8994,1.9845,37.0139
IMG_1464.jp2,3.8077,5.8008,107.9474,123.9645,164.4066,242.5901,2.6019,31.6986
IMG_1465.jp2,3.8734,6.1947,109.295,126.4467,164.1923,226.95,6.7234,32.7992
IMG_1466.jp2,3.7969,5.6953,103.0351,124.4198,165.2986,272.3346,7.9383,35.1528
IMG_1467.jp2,3.9827,5.8707,106.708,127.0788,162.253,203.6096,6.0577,29.014
IMG_1468.jp2,3.5095,5.744,112.7094,126.6818,164.4246,189.1631,4.7473,37.5445
IMG_1469.jp2,3.8706,6.3,107.4538,123.1426,160.9545,289.4994,10.9936,37.9207
IMG_1470.jp2,3.943,6.3611,110.6558,125.239,164.4533,186.8916,5.7131,32.931
IMG_1471.jp2,3.8602,6.1132,111.548,125.3807,165.7333,137.0558,3.7154,24.2118
IMG_1472.jp2,3.6628,6.1595,106.3846,123.2529,162.5486,300.2903,6.6716,37.4138
IMG_1473.jp2,3.7355,6.0977,109.3313,128.0148,165.2056,186.6765,2.6546,31.7574
IMG_1474.jp2,3.3687,5.9812,111.1543,124.9806,166.525,169.7517,3.1157,34.5748
IMG_1475.jp2,3.4892,5.8794,110.2017,127.8183,162.7855,248.4723,4.6777,26.5778
IMG_1476.jp2,3.8651,6.2035,110.4708,126.185,164.9276,267.6399,1.6094,32.4697
IMG_1477.jp2,3.9542,6.5169,106.8742,128.7446,163.9714,225.6888,3.7703,37.934
IMG_1478.jp2,3.7799,6.0478,109.5498,127.8332,165.832,271.6062,4.5993,36.7757
IMG_1479.jp2,3.9394,6.4877,109.3335,127.0923,164.1259,247.2072,4.0657,33.856
IMG_1480.jp2,3.819,6.1544,105.281,126.5122,160.684,407.9863,10.3553,41.8196
IMG_1481.jp2,3.7323,6.0786,114.999,127.5154,165.5406,256.3312,3.8103,39.7677
IMG_1482.jp2,3.9002,5.9327,105.7487,126.7561,162.1614,195.9541,1.7855,19.6497
IMG_1483.jp2,3.7905,5.933,105.3438,126.5927,164.2041,265.6528,2.8176,30.1387
IMG_1484.jp2,3.8484,6.0887,112.7561,129.3716,168.3158,289.8913,5.8988,35.2304
IMG_1485.jp2,3.6431,5.8482,112.5527,126.797,167.7242,185.9288,7.2042,35.4625
IMG_1486.jp2,3.8335,5.977,108.2037,129.0379,163.4517,253.452,5.1418,29.1443
IMG_1487.jp2,3.7073,5.918,108.7363,126.9918,166.7513,232.4481,3.6655,31.7432
IMG_1489.jp2,3.5594,5.937,107.9135,127.2871,162.6283,353.4999,8.1601,29.5985
IMG_1490.jp2,3.6641,5.9783,109.5965,125.8525,163.0709,245.9049,7.4157,44.9901
IMG_1491.jp2,3.8803,6.0405,114.3586,126.6497,166.3768,274.6824,2.1689,28.6842
IMG_1492.jp2,3.8265,6.2677,114.794,126.5476,163.1229,440.5938,8.001,34.2108
IMG_1494.jp2,3.8309,6.394,113.2032,125.1174,165.2571,444.0116,2.6839,39.896
IMG_1495.jp2,3.5078,5.6043,115.3277,128.6892,167.9173,256.0667,3.0789,41.0676
IMG_1496.jp2,3.4537,5.345,111.2012,127.6291,166.0512,269.9168,3.3585,19.6843
IMG_1497.jp2,3.6043,5.797,107.0572,127.5905,161.6143,204.2476,3.0324,24.8121
IMG_1498.jp2,3.4793,5.4167,107.4297,129.6017,163.9212,270.266,3.6873,33.7486
IMG_1499.jp2,3.8756,6.0883,108.063,124.1691,166.2699,251.9883,2.3471,35.1272
IMG_1500.jp2,3.643,6.204,110.3514,124.1277,166.4046,274.9779,5.903,34.567
IMG_1501.jp2,3.7664,5.9166,111.7043,125.3359,165.8003,264.0162,4.5706,26.2901
IMG_1502.jp2,3.9906,6.4951,102.9576,122.6786,162.7518,284.0546,7.9057,26.1785
IMG_1503.jp2,3.9482,5.9152,102.3825,125.6057,162.204,215.408,4.7923,25.8895
IMG_1504.jp2,3.9215,6.0644,101.3777,126.144,162.6139,151.6289,1.9254,20.6334
IMG_1505.jp2,3.7659,5.8238,103.2184,126.6975,162.9744,130.3019,2.3677,22.985
IMG_1506.jp2,3.9964,6.473,104.599,125.2138,162.415,195.5765,4.649,39.2174
IMG_1507.jp2,3.8294,6.158,104.0355,125.3191,164.1432,162.1992,3.0386,29.312
IMG_1508.jp2,3.7248,5.8252,101.9178,127.5843,161.8012,166.6155,6.4167,37.1196
IMG_1509.jp2,3.7239,5.9079,99.5279,126.5423,162.3994,145.5925,2.5632,26.3744
IMG_1510.jp2,3.7174,5.9813,104.2107,125.3717,162.0477,160.8461,4.3163,18.9976
IMG_1511.jp2,3.9689,6.5726,107.5607,124.8611,161.4852,166.0636,2.7533,30.4232
IMG_1512.jp2,3.8987,6.2407,107.1452,124.4796,163.1534,133.3538,4.1392,31.4537
IMG_1513.jp2,3.84,6.5548,106.5638,124.5668,163.1493,151.9237,2.2554,29.7382
IMG_1514.jp2,3.8484,6.7136,105.0109,124.4257,163.1766,109.0849,2.682,29.8067
IMG_1515.jp2,3.5147,6.0913,102.1198,126.0758,163.5893,157.655,4.0814,29.4291
IMG_1516.jp2,3.5814,6.1556,102.6846,126.4145,161.9918,257.5152,4.0665,34.3469
IMG_1517.jp2,3.5853,6.1583,104.9242,129.2428,159.5257,196.4143,6.5624,25.9793
